"state","state_layoff"
"Alabama",946
"Alaska",56
"Arizona",568
"California",11527
"Colorado",579
"Connecticut",329
"Delaware",71
"Florida",2207
"Georgia",3
"Idaho",154
"Illinois",653
"Indiana",845
"Iowa",494
"Kansas",849
"Kentucky",247
"Louisiana",138
"Maine",62
"Maryland",980
"Massachusetts",300
"Michigan",512
"Minnesota",527
"Missouri",344
"Montana",22
"Nebraska",450
"Nevada",474
"New Jersey",1931
"New Mexico",86
"New York",6870
"North Carolina",642
"North Dakota",39
"Ohio",479
"Oklahoma",501
"Oregon",511
"Rhode Island",90
"South Carolina",203
"South Dakota",59
"Texas",3136
"Utah",207
"Vermont",83
"Virginia",926
"Washington",1160
"Washington, D.C.",107
"West Virginia",228
"Wisconsin",662
